Imprint,Publisher
Jessica Sorensen,Hachette Book
Jeter Publishing/Gallery Books,Simon & Schuster
Jossey-Bass,Jossey-Bass
Jove,Penguin Random House
Kensington,Penguin Random House
Knopf/McSweeney's,Penguin Random House
Kristen Ashley,Hachette Book
Lampo,Ramsey Press
Latin Goddess Press,Latin Goddess Press
Laurelin Paige,Macmillan Publishers
Lauren Blakely,Macmillan Publishers
Laurens Publishing,HarperCollins
Lisa Renee Jones,Simon & Schuster
"Little, Brown & Company",Hachette Book
Liveright,W. W. Norton & Company
Liza Dawson Associates,Liza Dawson Associates
Macmillan,Macmillan Publishers
Mariner,HarperCollins
Mariner/Houghton Mifflin Harcourt,HarperCollins
Metropolitan/ Holt,Macmillan Publishers
Metropolitan/Holt,Macmillan Publishers
Modern Library,Penguin Random House
Morgan James,Morgan James
Morrow/HarperCollins,HarperCollins
"Mulholland/Little, Brown",Hachette Book
Namaste,Namaste Publishing
Nan A. Talese/ Doubleday,Penguin Random House
Nelson Books/Thomas Nelson,HarperCollins
New American Library,Penguin Random House
New Harbinger/Noetic,New Harbinger Publications
New Press,New Press
Northfield,Northfield Publishing
Norton,W. W. Norton & Company
Open Road,Open Road Media
Open Road Media,Open Road Media
Pamela Dorman/Viking,Penguin Random House
Pantheon,Penguin Random House
Penelope Ward,Penelope Ward
Penguin Group,Penguin Random House
Penguin Group (USA) Incorporated,Penguin Random House
Picador,Macmillan Publishers
Plume,Penguin Random House
Pocket Books,Simon & Schuster
Pocket Star,Simon & Schuster
Portfolio,Penguin Random House
Portfolio/Penguin,Penguin Random House
Portfolio/Penguin/Putnam,Penguin Random House
Post Hill,Post Hill Press
Quirk Books,Quirk Books
Random House Publishing,Penguin Random House
Random House Publishing Group,Penguin Random House
Razorbill,Penguin Random House
"Razorbill, paper only",Penguin Random House
Regnery,Regnery Publishing
Richard Jackson/Atheneum,Simon & Schuster
Roc,Penguin Random House
Rodale,Penguin Random House
Rux Martin/Houghton Mifflin Harcourt,HarperCollins
"Sarah Crichton/Farrar, Straus & Giroux",Macmillan Publishers
Scholastic Press,Scholastic Press
SelectBooks,Independent Publishers Group
Sentinel,Penguin Random House
Signet,Penguin Random House
Silhouette,HarperCollins
Spiegel & Grau,Spiegel & Grau
St. Martin's Press,Macmillan Publishers
